title,company,linkofProduct,skills,posted
senior HR officer,Terre des hommes,https://wuzzuf.net/jobs/p/plAcgpYzbsPK-senior-HR-officer-Terre-des-hommes-Cairo-Egypt?o=1&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['HR', 'hr officer', 'Human Resources (HR)', 'Personnel', 'Recruitment', 'senior', 'Organization Development', 'ngo', 'non profit', 'compensation and benefits', 'Payroll', 'Human Resources']",Posted 24 minutes ago
Senior Developer (.Net),Jandalah,https://wuzzuf.net/jobs/p/ffeIsFEooq8Y-Senior-Developer-Net-Jandalah-Cairo-Egypt?o=2&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Software Engineering', 'Software Development', 'Computer Science', 'Information Technology (IT)', 'developer']",Posted 1 hour ago
Senior DevOps Engineer,Nana,https://wuzzuf.net/jobs/p/62JsKGCRPO0O-Senior-DevOps-Engineer-Nana-Cairo-Egypt?o=3&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Computer Science', 'DevOps', 'Docker', 'Engineering', 'Git', 'Information Technology (IT)', 'Jenkins', 'Linux', 'MongoDB', 'MySQL', 'Python', 'Software Development']",Posted 1 hour ago
IT Technical Specialist,Medicare,https://wuzzuf.net/jobs/p/LObiWai3BCHh-IT-Technical-Specialist-Medicare-Cairo-Egypt?o=4&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Computer Science', 'Information Systems', 'Engineering', 'computer', 'Systems', 'Technical Support', 'Information Technology (IT)']",Posted 2 hours ago
Business Analyst/ Product Owner (Junior/Mid Level),Refilex,https://wuzzuf.net/jobs/p/aAyV8DIaOUgg-Business-Analyst-Product-Owner-JuniorMid-Level-Refilex-Giza-Egypt?o=5&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Agile', 'analytical', 'Business Analysis', 'Communication skills', 'Communication', 'Information Technology (IT)', 'Scrum Master', 'Software', 'JIRA', 'Computer Science', 'Scrum']",Posted 3 hours ago
Professor / Lecturer in Computer Science,(MSA) October University,https://wuzzuf.net/jobs/p/usCBW3oMZkZT-Professor-Lecturer-in-Computer-Science-MSA-October-University-Giza-Egypt?o=6&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Computer Science', 'phd', 'Software Engineering', 'Teaching', 'Education', 'Artificial Intelligence', 'Computer Engineering', 'lecturer', 'Professor', 'CS']",Posted 3 hours ago
Business Development -Software Field-,Systems Limited,https://wuzzuf.net/jobs/p/nN7cBnTuQwzZ-Business-Development--Software-Field--Systems-Limited-Giza-Egypt?o=7&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Business Development', 'Software Development', 'Computer Science', 'Information Technology (IT)']",Posted 3 hours ago
CRM Solution Architect,SURE International Technology,https://wuzzuf.net/jobs/p/NvI6de72t568-CRM-Solution-Architect-SURE-International-Technology-Cairo-Egypt?o=8&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Computer Science', 'CRM', 'Information Technology (IT)', 'Solution Architecture', 'Dynamics 365']",Posted 5 hours ago
Backend Developer,Twerlo,https://wuzzuf.net/jobs/p/KCoALeIKGRjL-Backend-Developer-Twerlo-Cairo-Egypt?o=9&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['APIs', 'AWS', 'Computer Science', 'CSS', 'Docker', 'Git', 'HTML', 'Information Technology (IT)', 'JavaScript', 'MongoDB', 'Software Development', 'Software Engineering']",Posted 16 hours ago
Senior OutSystems Developer,OOFOQ for digital solutions,https://wuzzuf.net/jobs/p/ExpACK2LO18c-Senior-OutSystems-Developer-OOFOQ-for-digital-solutions-Cairo-Egypt?o=10&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Outsystems', 'dotnet', 'ASP.NET Core']",Posted 17 hours ago
