title,price,location,creation_date,link,publisher,details,images,desc,ad_num,date
شقة 206م بموقع مميز بالحى الثانى بالقرب من نادى الشرطة,"1,643,000 ج.م","القاهرة الجديدة - التجمع, القاهرة",منذ 3 أيام,https://www.olx.com.eg/properties/cairo/,Gold mark,"['النوع', 'شقة', 'السعر', '1,643,000', 'نوع السعر', 'السعر', 'مقدم', '328,000', 'المساحة (م٢)', '175', 'غرف نوم', '3', 'الحمامات', '3', 'الطابق', '1', 'طريقة الدفع', 'تقسيط', 'تاريخ التسليم', '2025', 'فيديو', 'غير متوفر', 'جولة افتراضية', 'غير متوفر']","['https://images.olx.com.eg/thumbnails/39187816-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/39187818-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/43016580-400x300.jpeg']",['بارقى احياء القاهرة الجديدة بيت الوطن الحى الثانى على بعد خطوات من النادى الأهلى وشارع النوادى و ٨٠٠ متر من استمين مول بالم هيلز\n\nقطعة 40L ثالث نمرة من الشارع الفاصل بين الحى الثانى و الرابع\nشقة 206م مع افضل استغلال داخلى للمساحة\nاستلام ابتدائى للمبنى 6/2025\nالاستلام النهائى 12/2025\nالتسهيلات على72 شهر\nالمقدم 20% و الباقى بيتوزع باكتر من نظام سداد\n\nالتسليم نصف تشطيب ( باب مصفح \\ واجهات الوميتال \\ انتركم \\ جراجات \\ حوامل تكييفات \\ صرف تكييفات \\ دش مركزى \\ مداخل رخام \\ مصعد من الجراج للرووف)\nشركة جولد مارك هى المالك والمنفذ والمسوق لكل مشروعتها\nالتواصل واتس او تليفون'],['رقم الإعلان 193629230'],"11-29-2022, 13-42"
للبيع فيلا مستقله بكمبوند ستون بارك القطاميه (التجمع الخامس) مفروشة,"16,000,000 ج.م","القاهرة الجديدة - التجمع, القاهرة",منذ 1 أسبوع,https://www.olx.com.eg/properties/cairo/,Identity Real Estate,"['النوع', 'فيلا منفصلة', 'كمبوند', 'ستون بارك', 'السعر', '16,000,000', 'نوع السعر', 'السعر', 'المساحة (م٢)', '400', 'غرف نوم', '3', 'الحمامات', '3', 'مفروش', 'نعم', 'طريقة الدفع', 'كاش', 'تاريخ التسليم', 'استلام فوري', 'شروط التسليم', 'متشطب', 'فيديو', 'غير متوفر', 'جولة افتراضية', 'غير متوفر']","['https://images.olx.com.eg/thumbnails/43873204-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/43873205-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/43873206-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/43873207-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/43873208-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/43873209-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/43873210-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/43873211-400x300.jpeg']",['للبيع فيلا مستقله بكمبوند ستون بارك القطاميه (التجمع الخامس) مفروشة بالكامل\nارض ٤٤٠ متر\nمباني ٣٠٠ متر\n٣ غرف نوم + غرفه معيشه+ غرفه تخزين + غرفه غسيل + ٣ حمام + ٢ مطبخ\n\nجراج خاص مغطي ل ٣ سيارات ببوابة الكترونيه بالاضافة الى مكان ل ٤ سيارات امام الفيلا\nالتشطيب و الفرش حديث بمستوي فندقي سواء من ناحية التصميم أو الخامات. \nموقع مميز بفيو مفتوح رائع. \n\nمطلوب 16 مليون جنية كاش. و عفوا السعر نهائى\n\nالسعر شامل الفرش بالكامل بالاجهزه و التكييفات و جميع المحتويات. \n\nيوجد اكتر من وحده مشابهه بدون الفرش او بالفرش \n\nللاستفسار 01207099943'],['رقم الإعلان 194550866'],"11-29-2022, 13-42"
170م دور ثاني فيو مفتوح بحري استلام فوري,"2,450,000 ج.م","القاهرة الجديدة - التجمع, القاهرة",منذ 3 أيام,https://www.olx.com.eg/properties/cairo/,4 C,"['النوع', 'شقة', 'كمبوند', 'ماونتن فيو اى سيتي', 'السعر', '2,450,000', 'نوع السعر', 'السعر', 'المساحة (م٢)', '170', 'غرف نوم', '3', 'الحمامات', '3', 'الطابق', '2', 'مفروش', 'لا', 'طريقة الدفع', 'كاش', 'تاريخ التسليم', 'استلام فوري', 'شروط التسليم', 'نصف تشطيب', 'فيديو', 'غير متوفر', 'جولة افتراضية', 'غير متوفر']","['https://images.olx.com.eg/thumbnails/44172221-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44172222-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44172223-400x300.jpeg']","['mountain view I City phase one\ntotal price including all 2,450,000\ndelivered\nbahry']",['رقم الإعلان 194610268'],"11-29-2022, 13-42"
"شقتك 135م بمقدم 245,531 الف وتقسيط 84 شهر في بيت الوطن","982,125 ج.م","القاهرة الجديدة - التجمع, القاهرة",منذ 6 أيام,https://www.olx.com.eg/properties/cairo/,Tower development,"['النوع', 'شقة', 'كمبوند', 'بيت الوطن', 'السعر', '982,125', 'نوع السعر', 'قابل للنقاش', 'المساحة (م٢)', '135', 'غرف نوم', '3', 'الحمامات', '2', 'الطابق', '1', 'مفروش', 'لا', 'طريقة الدفع', 'كاش أو تقسيط', 'تاريخ التسليم', '2025', 'شروط التسليم', 'نصف تشطيب', 'فيديو', 'غير متوفر', 'جولة افتراضية', 'غير متوفر']","['https://images.olx.com.eg/thumbnails/36479618-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/36479619-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/36479617-400x300.jpeg']","['أفضل لوكيشن في الحي التاني \nقطعه E179 خطوات من الفيوووزوون \nدقائق من شارع التسعين \nدقائق لطريق السويس    \n دقائق لشارع النوادي الجديد\nمساحه 135 متر جانبي بردود 6 متر                    \nالاجمالي 982,125                \n بمقدم 245,531الف وتقسيط 84 شهر \nاستلام 2025\nتاور للتطوير العقاري\nالحي التاني E179']",['رقم الإعلان 193096491'],"11-29-2022, 13-42"
شقة لقطة بجاردن للبيع في كمبوند تاج سيتي,"4,926,837 ج.م","القاهرة الجديدة - التجمع, القاهرة",منذ 3 أيام,https://www.olx.com.eg/properties/cairo/,zain real estate,"['النوع', 'شقة', 'كمبوند', 'تاج سيتي', 'السعر', '4,926,837', 'نوع السعر', 'السعر', 'مقدم', '463,418', 'المساحة (م٢)', '165', 'غرف نوم', '3', 'الحمامات', '2', 'الطابق', '2', 'مفروش', 'لا', 'طريقة الدفع', 'كاش أو تقسيط', 'تاريخ التسليم', '2025', 'شروط التسليم', 'محارة و حلوق', 'فيديو', 'غير متوفر', 'جولة افتراضية', 'غير متوفر']","['https://images.olx.com.eg/thumbnails/44157976-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44157977-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44157978-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44157979-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44157980-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44157981-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44157982-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44157983-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44157984-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44157985-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44157986-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44157987-400x300.jpeg']",['شقه للبيع 165 +131 م جاردن  في اميز مراحل تاج سيتي مرحله (Club side)\n\n----------------------------------------------------------------------------------------------\n\nمكونه من:\n. ريسيبشن 2قطعه\n\n. 2غرفه (ماستر)\n\n. حمام1\n\n. مطبخ\n----------------------------------------------------------------------------------------------\nتفاصيل الدفع\n\nبمقدم 5% علي 10 سنين\n\nاجمالي السعر :3700000\n\n----------------------------------------------------------------------------------------------\nلمزيد من المعلومات كلمنا علي 01000994304\n----------------------------------------------------------------------------------------------\nمميزات كمبوند تاج سيتي\n\nيحتوي الكمبوند علي مميزات عديدة مثل انه مبني علي 850 فدان (20% مباني و 80% مساحات خضراء) مقسمة علي اكثر من مرحلة لكل مرحلة خدماتها الخاصة مثل\n- ملاعب كره قدم وملاعب تنس\n- حمامات سباحة\n- بحيرات صناعية\n- مساحات خضراء و landscape\n- نادي رياضي ونادي ثقافي\n- تراكات للمشي\n- club house\n- مدرسة وجامعة international\n- مول و مناطق تجارية لخدمه الكمبوند\n- جامع\n- محطة بنزين\n- مطاعم و كافيهات\n- مستشفى وعيادات طبية\n- قاعات لإقامة الحفلات والمناسبات'],['رقم الإعلان 194607522'],"11-29-2022, 13-42"
مكتبك بـ 430 ألف جنيه فقط وكمان تقسيط على 8 سنين,"430,000 ج.م","العاصمة الإدارية الجديدة, القاهرة",منذ 6 أيام,https://www.olx.com.eg/properties/cairo/,Alamrya City,"['النوع', 'مكتب', 'السعر', '430,000', 'نوع السعر', 'السعر', 'مقدم', '86,000', 'المساحة (م٢)', '21', 'مفروش', 'لا', 'طريقة الدفع', 'تقسيط', 'تاريخ التسليم', '2025', 'فيديو', 'غير متوفر', 'جولة افتراضية', 'غير متوفر']",['https://images.olx.com.eg/thumbnails/43586035-400x300.jpeg'],"['بموقع مميز بالـ Down Town على محور رئيسي وبالقرب من سوق الذهب ومسجد مصر ومحطة المونوريل مساحة 21m وحدتك الإدارية بـ 430 ألف جنيه وقسط على 8 سنوات مقدم 20% 86,000 والباقي أقساط على 8 سنوات استلام متشطب بالتكييفات 430000']",['رقم الإعلان 194494638'],"11-29-2022, 13-42"
شقة للبيع 175م بكمبوند ستون ريزيدنس في التجمع الخامس استلام فوري,"2,600,000 ج.م","القاهرة الجديدة - التجمع, القاهرة",منذ 3 ساعات,https://www.olx.com.eg/properties/cairo/,DRE investments,"['النوع', 'شقة', 'كمبوند', 'ستون ريزيدنس', 'السعر', '2,600,000', 'نوع السعر', 'السعر', 'مقدم', '2.1', 'المساحة (م٢)', '175', 'غرف نوم', '3', 'الحمامات', '3', 'الطابق', '1', 'مفروش', 'لا', 'طريقة الدفع', 'تقسيط', 'تاريخ التسليم', 'استلام فوري', 'شروط التسليم', 'نصف تشطيب', 'فيديو', 'غير متوفر', 'جولة افتراضية', 'غير متوفر']","['https://images.olx.com.eg/thumbnails/28250222-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/28250223-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/28250224-400x300.jpeg']",['شقة للبيع 175م بكمبوند ستون ريزيدنس بالتجع الخامس استلام فوري\nنص تشطيب \nدور اول\nالمقدم:2100000  جنيه\nمتبقي:500.000 علي قسطين علي سنة و نص\nاجمالي سعر:260000 جنيه\n\nخدمات كمبوند Stone Residence :\n* خدمات الأمن والحراسة تعمل على مدار الأربع والعشرين ساعة لتوفير الأمان لجميع السكان والوحدات طوال الوقت . \n* يتوفر كاميرات مراقبة حديثة مُوزعة في جميع أنحاء الكمبوند يشرف على صيانتها وتأمينها مهندسون متخصصون في هذا الشأن . \n* يوجد بالكمبوند جراجات خاصة بالسيارات على أعلى درجات الأمان والنظافة ويشرف عليها أشخاص متخصصين ومتواجدين على مدار اليوم. \n* المساحات الخضراء منتشرة في كل مكان بالكمبوند وتحتل مساحة كبيرة من الموقع . \n* يتوفر حمامات سباحة مُوزعة في الكمبوند وذات مساحات متنوعة. \n* يوجد موقف سيارات خاص لسكان الكمبوند. \n* يوجد عدد كبير من الحدائق والمتنزهات. \n* تحتل النوافير والبحيرات المائية الصناعية مساحة جيدة من الكمبوند والتي تعطي للمكان سحراً خاصًا بتناغمها مع المساحات الخضراء في منظر طبيعي يريح النفس. \n* يتوفر للأطفال منطقة ترفيهية كبيرة يتوفر بها ألعاب كثيرة بأعلى درجات الأمان. \n* يوجد كلوب هاوس وصالة كبيرة للألعاب الرياضية مُجهزة بأحدث الأجهزة. \n* الكمبوند يوجد به عدد كبير من المطاعم والكافيهات تقدم أشهى وألذ المأكولات. \n* منطقة تجارية كبيرة تضم عدد من المتاجر والمحلات التجارية تقدم أشهر الماركات العالمية. \n* يوجد نادي اجتماعي، وملاعب رياضية متنوعة خاصة للتنس والاسكواش. \n* مصاعد كهربائية حديثة بجميع الوحدات. \n* يتوفر للسيدات حمام سباحة مغطى خاص بهم. \n* يوجد فنادق خمس نجوم بالكمبوند. \n* يتوفر العديد من الأنشطة الثقافية والترفيهية. \n* الخدمات المالية منتشرة في جميع أرجاء الكمبوند، حيث يوجد عدد من أفرع البنوك الكبرى وماكينات الصرف الآلي للنقود.'],['رقم الإعلان 191483333'],"11-29-2022, 13-42"
Stand alone villa for sale in New Cairo,"65,000,000 ج.م","القاهرة الجديدة - التجمع, القاهرة",منذ 5 أيام,https://www.olx.com.eg/properties/cairo/,كاراس,"['النوع', 'فيلا منفصلة', 'كمبوند', 'خارج كمبوند', 'السعر', '65,000,000', 'نوع السعر', 'السعر', 'المساحة (م٢)', '2,000', 'غرف نوم', '9', 'الحمامات', '10+', 'مفروش', 'نعم', 'طريقة الدفع', 'كاش', 'تاريخ التسليم', 'استلام فوري', 'شروط التسليم', 'متشطب', 'فيديو', 'غير متوفر', 'جولة افتراضية', 'غير متوفر']","['https://images.olx.com.eg/thumbnails/44031002-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031003-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031004-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031005-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031006-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031007-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031008-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031009-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031010-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031011-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031012-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031013-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031014-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031015-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031016-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031017-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031018-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44031019-400x300.jpeg']",['فيلا منفصلة ( قصر )  للبيع بأكثر المناطق تميزًا بالقاهرة الجديدة  . \n*مساحة أرض الفيلا 1200 م . \n* مساحة المبانى : 2000 م . \n*مكونة من: بدروم ، أرضي ، أول ، تاني ، روف . \n*البدروم مقسم إلى :\n ( 4 مخازن ، مطبخ كبير جدا للعزائم والحفلات ، غرفة مربية مجهزة ، غرف خدم وحمامات تخدم الغرف ، مكتب كبير بحمام خاص به ، باركينج للسيارات ). \n* الفيلا منقسمة إلى ( أرضى ، أول ) على مساحة 800 م . \n* الدور التانى : ( شقة على مساحة 400 م منفصلة ) . \n* بينت هاوس به جناح نوم وريسبشن و عدد ( 2 ) حمام . \nالفيلا مكونة من : عدد ( 9 ) غرف منهم غرفتين ماستر بالدريسنج روم . \n وعدد : ( 13 ) حمام . \n* يوجد بالدور الأرضى ( حمام سباحة ، جاردن كبيرة ، مكان إستقبال للحفلات مجهز بالكامل  ) . \n* سنترال داخلى ، سيستم كاميرات مراقبة بكامل محيط الفيلا . \n* عدد ( 4 ) بيوت لكلاب الحراسة . \n* الفيلا مجهزة بالكامل من التكييفات عدد ( 40 ) تكييف . \nلمزيد من التفاصيل برجاء التواصل على الرقم المرفق بالإعلان . \n* عفواً السادة الوسطاء يمتنعون ، والتواصل للجاديين فقط .'],['رقم الإعلان 194581664'],"11-29-2022, 13-42"
ميفيدا أعمار ستوديو ٨٠م للبيع بالمطبخ و التكييفات القاهرة الجديدة,"3,000,000 ج.م","القاهرة الجديدة - التجمع, القاهرة",منذ 4 أيام,https://www.olx.com.eg/properties/cairo/,Mostafa sadek,"['النوع', 'ستوديو', 'كمبوند', 'ميفيدا', 'السعر', '3,000,000', 'نوع السعر', 'السعر', 'المساحة (م٢)', '80', 'غرف نوم', '1', 'الحمامات', '1', 'الطابق', 'الأرضى', 'مفروش', 'لا', 'طريقة الدفع', 'كاش', 'تاريخ التسليم', 'استلام فوري', 'شروط التسليم', 'متشطب', 'فيديو', 'غير متوفر', 'جولة افتراضية', 'غير متوفر']","['https://images.olx.com.eg/thumbnails/44098214-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44098215-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44098216-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44098217-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44098218-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44098219-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44098220-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44098221-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44098222-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44098223-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44098224-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44098225-400x300.jpeg']","[""ميفيدا - بوليفارد \n\nموقع متميز\n\nالمساحه : ٨٠م\n\n- غرفه نوم\n- حمام\n- ريسيبشن\n- مطبخ بالأجهزة\n- تكييفات\n\none bedroom apartment for sale Mivida Emaar New Cairo\n\nBua : 80m\none bedroom-\none bathroom-\nreception-\nkitchen with appliances-\nac's-""]",['رقم الإعلان 194595063'],"11-29-2022, 13-42"
فيلا في التجمع الاول بمرحلة فيلات فقط بكمبوند تاج سيتي Taj City بتقسيط,"850,000 ج.م","القاهرة الجديدة - التجمع, القاهرة",منذ 22 ساعات,https://www.olx.com.eg/properties/cairo/,Orion Real Estate,"['النوع', 'تاون هاوس', 'السعر', '850,000', 'نوع السعر', 'السعر', 'مقدم', '850,000', 'المساحة (م٢)', '195', 'غرف نوم', '4', 'الحمامات', '3', 'طريقة الدفع', 'كاش أو تقسيط', 'فيديو', 'غير متوفر', 'جولة افتراضية', 'غير متوفر']","['https://images.olx.com.eg/thumbnails/44356303-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44356304-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44356305-400x300.jpeg', 'https://images.olx.com.eg/thumbnails/44356306-400x300.jpeg']",['للبيع في التجمع الاول في القاهرة الجديدة بكمبوند تاج سيتي \n\nفيلا بمرحلة فيلات فقط \nمساحتها 193 م بجاردن 147 م و روف 57 م \nتقسيمتها : \n4 غرف / 3 حمام / مطبخ / ريسبشن أكتر من قطعة / 2 تراس \n\nالفيلا بموقعها قريب من منطقة الخدمات و بفيو علي لاند سكيب \n\nكمبوند تاج سيتي من مشاريع شركة مدينة نصر للاسكان و التعمير \n\nالكمبوند في أكتر من مرحلة ساكنة بالفعل و داخلة كل المرافق\n\nالفيلا بمقدم 850 الف و المتبقي بتقسيط علي 8 سنين بدون فوائد \n\nللاستفسار الاتصال او واتساب علي : 01113148321'],['رقم الإعلان 194646567'],"11-29-2022, 13-42"
